preset_id,reference_png,aida64_item_type,download_sensor,upload_sensor,x,y,width,height,download_line_color,upload_line_color,background,live_works,png_dynamic,note
dual/02-crossing/purple-yellow,network/line-graph-assets/dual/02-crossing/02-crossing-purple-yellow.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#8652ff,#fade3a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/02-crossing/yellow-purple,network/line-graph-assets/dual/02-crossing/02-crossing-yellow-purple.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#fade3a,#8652ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/03-mirrored/cream-cyan,network/line-graph-assets/dual/03-mirrored/03-mirrored-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#eee8d6,#00d2c4,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/03-mirrored/cyan-lime,network/line-graph-assets/dual/03-mirrored/03-mirrored-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#6af62a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/03-mirrored/cyan-pink,network/line-graph-assets/dual/03-mirrored/03-mirrored-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/03-mirrored/lime-pink,network/line-graph-assets/dual/03-mirrored/03-mirrored-lime-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#6af62a,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/03-mirrored/purple-yellow,network/line-graph-assets/dual/03-mirrored/03-mirrored-purple-yellow.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#8652ff,#fade3a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/03-mirrored/yellow-purple,network/line-graph-assets/dual/03-mirrored/03-mirrored-yellow-purple.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#fade3a,#8652ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/04-filled-split/cream-cyan,network/line-graph-assets/dual/04-filled-split/04-filled-split-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#eee8d6,#00d2c4,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/04-filled-split/cyan-lime,network/line-graph-assets/dual/04-filled-split/04-filled-split-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#6af62a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/04-filled-split/cyan-pink,network/line-graph-assets/dual/04-filled-split/04-filled-split-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/04-filled-split/lime-pink,network/line-graph-assets/dual/04-filled-split/04-filled-split-lime-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#6af62a,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/04-filled-split/purple-yellow,network/line-graph-assets/dual/04-filled-split/04-filled-split-purple-yellow.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#8652ff,#fade3a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/04-filled-split/yellow-purple,network/line-graph-assets/dual/04-filled-split/04-filled-split-yellow-purple.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#fade3a,#8652ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/05-bars-trace/cream-cyan,network/line-graph-assets/dual/05-bars-trace/05-bars-trace-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#eee8d6,#00d2c4,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/05-bars-trace/cyan-lime,network/line-graph-assets/dual/05-bars-trace/05-bars-trace-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#6af62a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/05-bars-trace/cyan-pink,network/line-graph-assets/dual/05-bars-trace/05-bars-trace-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/05-bars-trace/lime-pink,network/line-graph-assets/dual/05-bars-trace/05-bars-trace-lime-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#6af62a,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/05-bars-trace/purple-yellow,network/line-graph-assets/dual/05-bars-trace/05-bars-trace-purple-yellow.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#8652ff,#fade3a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/05-bars-trace/yellow-purple,network/line-graph-assets/dual/05-bars-trace/05-bars-trace-yellow-purple.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#fade3a,#8652ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/06-dotted/cream-cyan,network/line-graph-assets/dual/06-dotted/06-dotted-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#eee8d6,#00d2c4,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/06-dotted/cyan-lime,network/line-graph-assets/dual/06-dotted/06-dotted-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#6af62a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/06-dotted/cyan-pink,network/line-graph-assets/dual/06-dotted/06-dotted-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/06-dotted/lime-pink,network/line-graph-assets/dual/06-dotted/06-dotted-lime-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#6af62a,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/06-dotted/purple-yellow,network/line-graph-assets/dual/06-dotted/06-dotted-purple-yellow.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#8652ff,#fade3a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/06-dotted/yellow-purple,network/line-graph-assets/dual/06-dotted/06-dotted-yellow-purple.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#fade3a,#8652ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/07-scanband/cream-cyan,network/line-graph-assets/dual/07-scanband/07-scanband-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#eee8d6,#00d2c4,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/07-scanband/cyan-lime,network/line-graph-assets/dual/07-scanband/07-scanband-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#6af62a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/07-scanband/cyan-pink,network/line-graph-assets/dual/07-scanband/07-scanband-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#00d2c4,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/07-scanband/lime-pink,network/line-graph-assets/dual/07-scanband/07-scanband-lime-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#6af62a,#ff3484,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/07-scanband/purple-yellow,network/line-graph-assets/dual/07-scanband/07-scanband-purple-yellow.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#8652ff,#fade3a,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
dual/07-scanband/yellow-purple,network/line-graph-assets/dual/07-scanband/07-scanband-yellow-purple.png,Two overlaid Graph items,NIC download rate,NIC upload rate,872,306,500,112,#fade3a,#8652ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,The exact decorative PNG waveform is not live. Use two native Graph items with these colors.
