preset_id,reference_png,aida64_item_type,download_sensor,upload_sensor,x,y,width,height,download_line_color,upload_line_color,background,live_works,png_dynamic,note
dual/dual-02-split-lane/violet-lime,network/line-graph-assets/dual/dual-02-split-lane/dual-02-split-lane-violet-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#ff36d3,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-02-split-lane/cream-cyan,network/line-graph-assets/dual/dual-02-split-lane/dual-02-split-lane-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff1d7,#20e5ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-02-split-lane/lime-red,network/line-graph-assets/dual/dual-02-split-lane/dual-02-split-lane-lime-red.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff12e,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-02-split-lane/pop-mix,network/line-graph-assets/dual/dual-02-split-lane/dual-02-split-lane-pop-mix.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff12e,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-03-dot-line/cyan-pink,network/line-graph-assets/dual/dual-03-dot-line/dual-03-dot-line-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#4e72ff,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-03-dot-line/cyan-lime,network/line-graph-assets/dual/dual-03-dot-line/dual-03-dot-line-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#20e5ff,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-03-dot-line/blue-orange,network/line-graph-assets/dual/dual-03-dot-line/dual-03-dot-line-blue-orange.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#4e72ff,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-03-dot-line/violet-lime,network/line-graph-assets/dual/dual-03-dot-line/dual-03-dot-line-violet-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#ff36d3,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-03-dot-line/cream-cyan,network/line-graph-assets/dual/dual-03-dot-line/dual-03-dot-line-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff1d7,#20e5ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-03-dot-line/lime-red,network/line-graph-assets/dual/dual-03-dot-line/dual-03-dot-line-lime-red.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff12e,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-03-dot-line/pop-mix,network/line-graph-assets/dual/dual-03-dot-line/dual-03-dot-line-pop-mix.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff12e,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-04-mirror-fill/cyan-pink,network/line-graph-assets/dual/dual-04-mirror-fill/dual-04-mirror-fill-cyan-pink.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#4e72ff,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-04-mirror-fill/cyan-lime,network/line-graph-assets/dual/dual-04-mirror-fill/dual-04-mirror-fill-cyan-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#20e5ff,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-04-mirror-fill/blue-orange,network/line-graph-assets/dual/dual-04-mirror-fill/dual-04-mirror-fill-blue-orange.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#4e72ff,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-04-mirror-fill/violet-lime,network/line-graph-assets/dual/dual-04-mirror-fill/dual-04-mirror-fill-violet-lime.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#ff36d3,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-04-mirror-fill/cream-cyan,network/line-graph-assets/dual/dual-04-mirror-fill/dual-04-mirror-fill-cream-cyan.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff1d7,#20e5ff,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-04-mirror-fill/lime-red,network/line-graph-assets/dual/dual-04-mirror-fill/dual-04-mirror-fill-lime-red.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff12e,#ff2f70,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
dual/dual-04-mirror-fill/pop-mix,network/line-graph-assets/dual/dual-04-mirror-fill/dual-04-mirror-fill-pop-mix.png,Two overlaid Graph items,NIC download rate,NIC upload rate,990,95,380,100,#fff12e,#fff12e,transparent or black low opacity,"yes, when recreated as two AIDA64 native Graph items",no,Exact decorative waveform is static. Live version is two native Graph items with these colors.
