preset_id,reference_png,aida64_item_type,sensor,x,y,width,height,line_color,background,live_works,png_dynamic,note
single/single-02-dot-pulse/pink-orange,network/line-graph-assets/Single/single-02-dot-pulse/single-02-dot-pulse-pink-orange.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#fff12e,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-02-dot-pulse/lime-hot,network/line-graph-assets/Single/single-02-dot-pulse/single-02-dot-pulse-lime-hot.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff2f70,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-02-dot-pulse/cool-violet,network/line-graph-assets/Single/single-02-dot-pulse/single-02-dot-pulse-cool-violet.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff36d3,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-02-dot-pulse/cream-accent,network/line-graph-assets/Single/single-02-dot-pulse/single-02-dot-pulse-cream-accent.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff36d3,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-03-ink-spike/cpu-pop-heat,network/line-graph-assets/Single/single-03-ink-spike/single-03-ink-spike-cpu-pop-heat.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff2f70,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-03-ink-spike/gpu-violet-pop,network/line-graph-assets/Single/single-03-ink-spike/single-03-ink-spike-gpu-violet-pop.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff7a20,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-03-ink-spike/cyan-lime-yellow,network/line-graph-assets/Single/single-03-ink-spike/single-03-ink-spike-cyan-lime-yellow.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#fff12e,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-03-ink-spike/pink-orange,network/line-graph-assets/Single/single-03-ink-spike/single-03-ink-spike-pink-orange.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#fff12e,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-03-ink-spike/lime-hot,network/line-graph-assets/Single/single-03-ink-spike/single-03-ink-spike-lime-hot.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff2f70,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-03-ink-spike/cool-violet,network/line-graph-assets/Single/single-03-ink-spike/single-03-ink-spike-cool-violet.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff36d3,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-03-ink-spike/cream-accent,network/line-graph-assets/Single/single-03-ink-spike/single-03-ink-spike-cream-accent.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff36d3,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-04-scan-ribbon/cpu-pop-heat,network/line-graph-assets/Single/single-04-scan-ribbon/single-04-scan-ribbon-cpu-pop-heat.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff2f70,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-04-scan-ribbon/gpu-violet-pop,network/line-graph-assets/Single/single-04-scan-ribbon/single-04-scan-ribbon-gpu-violet-pop.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff7a20,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-04-scan-ribbon/cyan-lime-yellow,network/line-graph-assets/Single/single-04-scan-ribbon/single-04-scan-ribbon-cyan-lime-yellow.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#fff12e,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-04-scan-ribbon/pink-orange,network/line-graph-assets/Single/single-04-scan-ribbon/single-04-scan-ribbon-pink-orange.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#fff12e,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-04-scan-ribbon/lime-hot,network/line-graph-assets/Single/single-04-scan-ribbon/single-04-scan-ribbon-lime-hot.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff2f70,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-04-scan-ribbon/cool-violet,network/line-graph-assets/Single/single-04-scan-ribbon/single-04-scan-ribbon-cool-violet.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff36d3,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
single/single-04-scan-ribbon/cream-accent,network/line-graph-assets/Single/single-04-scan-ribbon/single-04-scan-ribbon-cream-accent.png,Graph,NIC download rate or any single network sensor,548,95,380,100,#ff36d3,transparent or black low opacity,"yes, when recreated as AIDA64 native Graph",no,PNG is static reference/overlay only. Use native Graph for live history.
