category,state_folder,state_count,aida64_item_type,live_works
horizontal,custom-gauges/horizontal/bar-03-splat-slashes/lime-hot,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-03-splat-slashes/cool-violet,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-03-splat-slashes/cream-accent,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-04-sticker-blocks/cpu-pop-heat,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-04-sticker-blocks/gpu-violet-pop,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-04-sticker-blocks/cyan-lime-yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-04-sticker-blocks/pink-orange,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-04-sticker-blocks/lime-hot,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-04-sticker-blocks/cool-violet,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-04-sticker-blocks/cream-accent,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-05-wave-ribbon/cpu-pop-heat,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-05-wave-ribbon/gpu-violet-pop,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-05-wave-ribbon/cyan-lime-yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-05-wave-ribbon/pink-orange,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-05-wave-ribbon/lime-hot,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-05-wave-ribbon/cool-violet,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-05-wave-ribbon/cream-accent,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-06-drip-meter/cpu-pop-heat,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-06-drip-meter/gpu-violet-pop,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-06-drip-meter/cyan-lime-yellow,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-06-drip-meter/pink-orange,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-06-drip-meter/lime-hot,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-06-drip-meter/cool-violet,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
horizontal,custom-gauges/horizontal/bar-06-drip-meter/cream-accent,16,Custom Gauge,"yes, value switches among state images in AIDA64 Custom Gauge"
